epoch,train_loss,test_loss,train_accuracy,test_accuracy
1,1.5199777569089616,6.717237336294992,0.4199533321950942,0.028562155144433627
2,1.0930131333214896,2.471125296183995,0.5539809914062944,0.32035053554040893
3,0.951947728225163,0.7373081019946507,0.6090148540208298,0.7075624797143785
4,0.8489131740161351,1.201469898223877,0.6548289795686074,0.5189873417721519
5,0.7913696323122297,0.7565916691507611,0.6736668374025383,0.7198961376176566
6,0.7482728345053536,0.6707215394292559,0.6941551419953332,0.7364492048036352
7,0.6844803861209324,0.5575074298041207,0.7200500825223379,0.7857838364167478
8,0.6586577568735396,0.46517883454050335,0.7298389391611178,0.8231093800714054
9,0.6208053605897086,0.5909709632396698,0.743839280632861,0.7588445309964297
10,0.5988312925611223,0.5778377396719796,0.754254168800865,0.7380720545277507
11,0.5807997976030622,0.5152602876935687,0.7643275852256559,0.7958455047062643
12,0.5669170260429383,0.8034027133669172,0.7677423026577884,0.6718597857838364
13,0.5407912969589234,0.3909373623984201,0.7769051277673439,0.857838364167478
14,0.5352524851049696,0.6546192680086408,0.7820841158727448,0.7601428107757222
15,0.5274134942463466,0.5566818203244891,0.7853280974332707,0.798117494320026
16,0.5061742041792189,0.3624236690146582,0.7945478345000284,0.8513469652710159
17,0.49237837876592366,0.38238779987607685,0.7979625519321609,0.8422590068159689
18,0.48518666199275423,0.3967346889632089,0.8034260998235729,0.8497241155469003
19,0.47387320825031826,0.34171873331069946,0.8051334585396391,0.8682246024018176
20,0.4654329180717468,0.4255242219993046,0.8117921575322975,0.8185654008438819
21,0.4665522703102657,0.3474517932959965,0.8124181890615219,0.8643297630639403
22,0.45050792694091796,0.350724390574864,0.8188492402253713,0.8659526127880558
23,0.4497717576367514,0.39048275351524353,0.8199305674122133,0.8438818565400844
24,0.4439951504979815,0.3036581746169499,0.8226623413579193,0.8795845504706264
25,0.42677631207874844,0.31401284677641733,0.830800751237835,0.8740668614086335
26,0.4270058572292328,0.29617459433419363,0.8289795686073644,0.8779617007465109
27,0.42382727350507465,0.3904852271080017,0.8279551533777246,0.863356053229471
28,0.4263406344822475,0.48973834088870455,0.8273291218485004,0.8468029860434924
29,0.4112440850053515,0.2793782353401184,0.835979739343236,0.8893216488153197
30,0.403165784903935,0.3315692927156176,0.8379147458881111,0.8601103537812399
31,0.4012620619365147,0.39296709639685495,0.8380285698025155,0.8623823433950016
32,0.39547939130238124,0.3503475231783731,0.8419554948494679,0.8601103537812399
33,0.39411050932747976,0.3125660589763096,0.8423538785498833,0.8766634209672184
34,0.38601235236440384,0.36760304655347553,0.8482158101417108,0.8815319701395651
35,0.3809223336832864,0.2958398887089321,0.8491264014569461,0.8915936384290815
36,0.381492349931172,0.2756730169057846,0.8475328666552843,0.8883479389808504
37,0.377629360130855,0.3584483095577785,0.8491833134141483,0.8857513794222655
38,0.37170820832252505,0.3321222152028765,0.8519719993170565,0.8734177215189873
39,0.3693097616944994,0.2649947383574077,0.8536224460759205,0.8945147679324894
40,0.3642482016767774,0.2945543314729418,0.8534517102043139,0.8912690684842584
41,0.36193033541951863,0.2677509827273233,0.8582323146092994,0.8977604673807206
42,0.3531860147203718,0.2563446057694299,0.8615901200842297,0.8980850373255437
43,0.3505673587322235,0.26188889358724865,0.8616470320414319,0.8964621876014282
44,0.3476805925369263,0.2525679362671716,0.8631836548858915,0.9010061668289516
45,0.3508150177342551,0.26957190888268606,0.8598258494109613,0.8967867575462513
46,0.3473997380052294,0.25392172166279386,0.8626145353138694,0.9010061668289516
47,0.33997088841029577,0.2572398654052189,0.8678504353764726,0.9003570269393054
48,0.33846339668546405,0.2475085939679827,0.867167491890046,0.899058747160013
49,0.33751017025538854,0.2602266115801675,0.8698423538785499,0.9000324569944823
50,0.33403695055416655,0.24874389384474074,0.870411473450572,0.9029535864978903
